#chr1	x1	x2	chr2	y1	y2	P_val
chr1	201550000	201585000	chr1	201655000	201770000	0.00031496717247786753
chr1	201990000	202025000	chr1	202060000	202170000	1.3585607433678598e-23
chr1	202170000	202215000	chr1	202255000	202370000	1.990950876423829e-11
chr1	203010000	203055000	chr1	203205000	203330000	0.0011496502707413706
chr1	203250000	203295000	chr1	203335000	203525000	4.2390906022633736e-12
chr1	203330000	203355000	chr1	203430000	203535000	1.5465718733325137e-26
chr1	203480000	203525000	chr1	203680000	203790000	8.154307678607468e-05
chr1	204135000	204190000	chr1	204310000	204430000	1.1805191028551607e-06
chr1	204955000	205000000	chr1	205175000	205280000	0.014483690438185832
chr1	205775000	205810000	chr1	205905000	206040000	3.3845437842869893e-15
chr1	206455000	206500000	chr1	206590000	206710000	6.555500880385626e-05
chr1	206705000	206750000	chr1	206805000	207000000	1.7400251699067712e-16
chr1	207075000	207110000	chr1	207315000	207490000	4.550310745864555e-09
chr1	208015000	208040000	chr1	208210000	208285000	0.0032307696521667643
chr1	208635000	208670000	chr1	209175000	209285000	0.0005592055871322472
chr1	211665000	211710000	chr1	211935000	212125000	6.380807921656997e-36
chr1	212035000	212090000	chr1	212270000	212475000	7.060665690706713e-31
chr1	212455000	212500000	chr1	212555000	212810000	1.0908875666910833e-34
chr1	222445000	222490000	chr1	222610000	222745000	9.421932552485949e-06
chr1	223120000	223155000	chr1	223210000	223295000	0.0048353562130538505
chr1	224095000	224130000	chr1	224315000	224505000	0.0004732559530348004
chr1	225455000	225500000	chr1	225870000	226020000	1.0691447124941102e-20
chr1	225755000	225790000	chr1	225910000	226000000	0.029741702699384285
chr1	225975000	226010000	chr1	226065000	226150000	5.511784346118368e-07
chr1	226605000	226650000	chr1	226805000	226925000	1.883030710876898e-10
chr1	228630000	228675000	chr1	229440000	229550000	0.0029206887366439445
chr1	229240000	229285000	chr1	229425000	229580000	5.909075409655038e-32
chr1	231330000	231385000	chr1	231520000	231645000	4.840336801943106e-22
chr1	234470000	234515000	chr1	234895000	235165000	1.9746499573372198e-27
chr1	234590000	234625000	chr1	234840000	235115000	7.830370184413818e-47
chr1	234835000	234850000	chr1	234940000	235015000	4.512720480035272e-05
chr1	235235000	235270000	chr1	235335000	235435000	4.560890127679565e-07
chr1	235485000	235530000	chr1	235770000	235900000	0.0002473684631463792
chr1	235845000	235890000	chr1	235920000	236015000	5.504194462347098e-06
chr1	236080000	236125000	chr1	236460000	236605000	2.5624645178204138e-14
chr1	241510000	241545000	chr1	241585000	241695000	0.0007665043456346031
chr1	241600000	241645000	chr1	241805000	241905000	0.002006305784443542
chr1	245130000	245175000	chr1	245975000	246085000	0.00888370348134698
chr1	245985000	246030000	chr1	246410000	246510000	0.0025558198405146127
chr1	246480000	246525000	chr1	246670000	246805000	1.90435512906221e-12
chr1	247365000	247410000	chr1	247435000	247535000	1.3948761095491937e-09
chr1	248215000	248260000	chr1	248760000	248900000	0.00027114697205023235
chr1	248420000	248475000	chr1	248600000	248730000	9.86549474027276e-08
chr1	248555000	248580000	chr1	248655000	248820000	5.993157908641538e-17
chr1	1290000	1400000	chr1	1485000	1530000	4.875961141959244e-07
chr1	2135000	2240000	chr1	2370000	2395000	2.938692308478526e-15
chr1	3435000	3560000	chr1	3595000	3620000	2.636610429727301e-13
chr1	6690000	6790000	chr1	6875000	6910000	2.288110125367174e-07
chr1	7970000	8085000	chr1	8285000	8340000	3.730920072718406e-08
chr1	7955000	8015000	chr1	8350000	8355000	4.786529130483656e-11
chr1	8860000	9045000	chr1	9075000	9120000	2.4275572650949443e-10
chr1	9700000	9790000	chr1	9850000	9885000	3.2125555931149772e-06
chr1	9870000	9960000	chr1	10010000	10045000	0.02765480342637731
chr1	11225000	11340000	chr1	11625000	11670000	5.5072692290092215e-06
chr1	12060000	12165000	chr1	12185000	12230000	5.415534786289393e-19
chr1	12250000	12400000	chr1	12595000	12640000	5.2998766510763197e-11
chr1	15075000	15210000	chr1	15250000	15305000	7.926242405406266e-22
chr1	15490000	15590000	chr1	15725000	15760000	0.00037942791457292667
chr1	16190000	16275000	chr1	16340000	16375000	0.03062772451164397
chr1	17045000	17170000	chr1	17220000	17255000	2.2001276161003816e-11
chr1	17450000	17550000	chr1	17585000	17620000	2.097901816485554e-09
chr1	19230000	19340000	chr1	19625000	19680000	0.026544783999127127
chr1	20130000	20240000	chr1	20475000	20520000	0.0005556116193121102
chr1	20480000	20565000	chr1	20620000	20655000	6.788382151732315e-08
chr1	20650000	20805000	chr1	21165000	21210000	1.437025665738783e-17
chr1	21195000	21290000	chr1	21355000	21390000	3.4488624073645714e-22
chr1	21635000	21770000	chr1	21940000	21995000	4.597334250370922e-05
chr1	22080000	22165000	chr1	22400000	22435000	2.4062053849671732e-05
chr1	23000000	23135000	chr1	23160000	23205000	5.460142732334809e-12
chr1	23480000	23595000	chr1	23615000	23660000	3.286358592790478e-17
chr1	23620000	23705000	chr1	23740000	23765000	6.400304994571004e-09
chr1	23740000	23850000	chr1	23890000	23935000	3.4136573277023113e-12
chr1	24120000	24245000	chr1	24370000	24415000	1.0762312717252662e-13
chr1	24605000	24740000	chr1	24815000	24860000	2.1277574907710224e-24
chr1	24900000	24990000	chr1	25015000	25050000	1.1108049044903633e-21
chr1	24885000	24950000	chr1	25090000	25105000	0.004902544609749733
chr1	24790000	24910000	chr1	25175000	25230000	1.8857207393353524e-05
chr1	25265000	25615000	chr1	25785000	25840000	2.716440248744316e-20
chr1	25810000	25945000	chr1	25980000	26015000	1.0107842731274338e-15
chr1	27005000	27190000	chr1	27265000	27310000	2.0515059656172182e-15
chr1	27260000	27350000	chr1	27375000	27410000	8.453367746228101e-09
chr1	27285000	27425000	chr1	27605000	27610000	9.373728384994458e-29
chr1	27810000	28110000	chr1	28190000	28235000	1.738108994282842e-37
chr1	28240000	28320000	chr1	28320000	28390000	0.0001032638822568389
chr1	28845000	28945000	chr1	29015000	29050000	3.2933236894236284e-10
chr1	30705000	30865000	chr1	30895000	30940000	5.8311420315264505e-31
chr1	31360000	31475000	chr1	31525000	31570000	3.562771978469093e-18
chr1	31530000	31635000	chr1	31770000	31815000	0.0247202198460014
chr1	32820000	32915000	chr1	33070000	33115000	0.01414465690600341
chr1	33230000	33385000	chr1	33445000	33490000	3.297219840545018e-08
chr1	34395000	34520000	chr1	34565000	34620000	1.873410921690929e-07
chr1	35380000	35490000	chr1	35530000	35575000	5.402758350123807e-12
chr1	35550000	35665000	chr1	35695000	35750000	2.0532760239031269e-07
chr1	36070000	36215000	chr1	36270000	36305000	1.6706128922104698e-18
chr1	36260000	36365000	chr1	36395000	36440000	2.4362613713258985e-06
chr1	37420000	37630000	chr1	37660000	37705000	7.33778254767443e-35
chr1	37795000	37900000	chr1	37970000	37995000	1.0732425707291797e-05
chr1	37960000	38085000	chr1	38820000	38865000	5.825905937218026e-11
chr1	39075000	39190000	chr1	39245000	39290000	4.844542838039756e-07
chr1	40050000	40155000	chr1	40320000	40345000	2.359167817764243e-14
chr1	40570000	40665000	chr1	40835000	40870000	0.0004081026519211972
chr1	40745000	40900000	chr1	40935000	40980000	2.7299106859671714e-08
chr1	41220000	41370000	chr1	41400000	41455000	4.00732788630532e-37
chr1	42835000	42975000	chr1	43050000	43095000	5.945442630678788e-15
chr1	43680000	43795000	chr1	43915000	43960000	9.336603188941295e-11
chr1	44960000	45085000	chr1	45275000	45320000	1.3056353442440188e-14
chr1	45290000	45405000	chr1	45475000	45520000	1.4998325497756031e-16
chr1	45985000	46110000	chr1	46155000	46210000	1.913712311496514e-12
chr1	46405000	46600000	chr1	46700000	46745000	1.1298909828236225e-07
chr1	47360000	47490000	chr1	47695000	47740000	5.895801256234842e-20
chr1	50725000	50865000	chr1	51170000	51215000	3.3956974081923044e-05
chr1	51830000	51955000	chr1	51980000	52025000	6.832632581402515e-15
chr1	52855000	52955000	chr1	53170000	53195000	2.7260017512628538e-08
chr1	53205000	53340000	chr1	53375000	53420000	1.4788812262418145e-17
chr1	53815000	53905000	chr1	53930000	53965000	4.269498945319387e-17
chr1	54075000	54210000	chr1	54470000	54515000	0.0002444240534820016
chr1	58470000	58595000	chr1	58630000	58675000	4.7170433373681223e-20
chr1	58720000	58825000	chr1	59680000	59735000	0.0014663134937234416
chr1	61515000	61665000	chr1	61830000	61875000	0.00035701324921370354
chr1	62430000	62555000	chr1	62720000	62765000	1.1564323399053338e-13
chr1	63515000	63690000	chr1	64225000	64270000	6.03865434391185e-07
chr1	65045000	65135000	chr1	65195000	65230000	0.01864626880138774
chr1	65170000	65285000	chr1	65670000	65705000	1.8813328074036847e-08
chr1	66195000	66315000	chr1	66425000	66470000	1.2411237948243854e-16
chr1	66460000	66580000	chr1	66700000	66735000	0.0019900111060348106
chr1	67130000	67300000	chr1	67475000	67520000	7.855343188496393e-10
chr1	67500000	67610000	chr1	67745000	67790000	3.2245089108317937e-06
chr1	68065000	68185000	chr1	68315000	68370000	5.917281099308588e-05
chr1	70130000	70345000	chr1	71035000	71080000	2.4636586374890253e-09
chr1	74725000	74820000	chr1	75185000	75220000	3.5157719339334563e-08
chr1	83885000	84005000	chr1	84085000	84140000	1.969918169326627e-05
chr1	84410000	84510000	chr1	84600000	84635000	4.496608934911711e-12
chr1	86770000	86930000	chr1	87060000	87105000	7.863433881187684e-32
chr1	88585000	88720000	chr1	88860000	88905000	1.4707815427844495e-07
chr1	88960000	89080000	chr1	89335000	89380000	1.8548907236785982e-07
chr1	88920000	89025000	chr1	89445000	89480000	1.3390895680728643e-10
chr1	89450000	89545000	chr1	89580000	89615000	4.167651940593218e-11
chr1	89450000	89670000	chr1	89745000	89780000	9.95282060717036e-22
chr1	89710000	89855000	chr1	89970000	90015000	6.56796335512827e-14
chr1	91400000	91525000	chr1	91910000	91955000	5.033369109522373e-07
chr1	92290000	92520000	chr1	92575000	92620000	4.3146446450290534e-17
chr1	93995000	94105000	chr1	94320000	94355000	1.204110578677654e-13
chr1	94435000	94575000	chr1	94780000	94825000	2.091613347418236e-25
chr1	94785000	94920000	chr1	95020000	95065000	2.076878508454854e-14
chr1	95025000	95150000	chr1	95210000	95265000	0.004661978298650543
chr1	96915000	97035000	chr1	98025000	98080000	0.009157971730939183
chr1	100090000	100555000	chr1	100850000	100895000	1.4402021526049963e-33
chr1	100875000	100995000	chr1	101260000	101315000	9.019467691205947e-09
chr1	107730000	107830000	chr1	108110000	108145000	1.222252432601564e-08
chr1	109220000	109330000	chr1	109380000	109415000	2.592312371946439e-22
chr1	109500000	109695000	chr1	109750000	109785000	4.0262239434910277e-07
chr1	109720000	109825000	chr1	109955000	110000000	9.333451997428944e-07
chr1	110165000	110260000	chr1	110435000	110480000	0.025205620635152852
chr1	110495000	110685000	chr1	110750000	110805000	1.1991440361548929e-20
chr1	111385000	111520000	chr1	111730000	111785000	4.4278640958684737e-23
chr1	112830000	112960000	chr1	113015000	113060000	2.4246928775276163e-08
chr1	113070000	113190000	chr1	113655000	113700000	3.403530329459548e-08
chr1	113940000	114060000	chr1	114260000	114305000	2.6141971255975315e-09
chr1	115775000	115865000	chr1	115960000	115995000	0.0004633479476396226
chr1	116070000	116200000	chr1	116470000	116515000	1.0064706984598456e-15
chr1	116510000	116660000	chr1	117035000	117080000	4.7290359896528715e-07
chr1	117510000	117610000	chr1	117650000	117695000	9.367829171823438e-07
chr1	119220000	119315000	chr1	119345000	119390000	0.00013558017858226543
chr1	119765000	119985000	chr1	120135000	120160000	6.6987321568066155e-18
chr1	120775000	120875000	chr1	120990000	121005000	6.638197088168521e-05
chr1	145540000	145650000	chr1	145705000	145740000	1.2643813073541586e-09
chr1	145810000	145935000	chr1	146005000	146020000	2.3808271639430133e-32
chr1	147645000	147700000	chr1	147885000	147890000	0.0025069361433520294
chr1	149750000	149825000	chr1	149870000	149875000	1.3612005607670457e-30
chr1	149855000	149995000	chr1	150030000	150075000	1.1474134176578055e-24
chr1	149890000	150115000	chr1	150150000	150195000	2.6023911469545142e-11
chr1	150990000	151105000	chr1	151135000	151170000	2.452871394597812e-12
chr1	151850000	151950000	chr1	151970000	152015000	5.528062957739187e-08
chr1	152010000	152115000	chr1	152165000	152210000	4.141390546506147e-06
chr1	152010000	152235000	chr1	152430000	152475000	4.311792145451326e-17
chr1	153600000	153740000	chr1	153970000	154015000	0.00013109441497412543
chr1	154670000	154765000	chr1	154850000	154895000	0.0035167995569985082
chr1	155020000	155105000	chr1	155155000	155190000	0.0011095053939507366
chr1	155185000	155275000	chr1	155300000	155335000	2.597533095075761e-07
chr1	155185000	155405000	chr1	155575000	155630000	3.04756943656558e-13
chr1	156315000	156400000	chr1	156430000	156465000	5.100200330733841e-14
chr1	156360000	156455000	chr1	156590000	156635000	0.0004547661491784209
chr1	157120000	157240000	chr1	157475000	157520000	3.174084019485133e-08
chr1	158935000	159010000	chr1	159065000	159090000	0.002785193783299887
chr1	159750000	159960000	chr1	159995000	160030000	6.99387703099545e-11
chr1	160325000	160450000	chr1	160590000	160635000	1.019027267297702e-09
chr1	160785000	160895000	chr1	160930000	160965000	4.093750662231269e-12
chr1	161440000	161605000	chr1	161730000	161755000	1.1150471802221904e-51
chr1	161740000	161855000	chr1	162020000	162055000	1.4608605975657137e-13
chr1	162520000	162655000	chr1	162775000	162820000	8.304578703853631e-09
chr1	162800000	162895000	chr1	163290000	163335000	0.00021531013865683913
chr1	165315000	165450000	chr1	165570000	165615000	9.162549880783876e-12
chr1	165550000	165680000	chr1	165900000	165935000	2.2279191347934356e-08
chr1	166845000	166975000	chr1	167035000	167080000	6.235118322500329e-22
chr1	167355000	167465000	chr1	167520000	167565000	0.0001371990644528612
chr1	167505000	167645000	chr1	167665000	167720000	9.55121949497212e-28
chr1	168360000	168495000	chr1	168550000	168595000	2.807136116731765e-09
chr1	169545000	169645000	chr1	169695000	169730000	8.871725987838394e-15
chr1	169505000	169590000	chr1	169790000	169825000	0.00542552471348485
chr1	171740000	171840000	chr1	171965000	172010000	0.014246012973996858
chr1	172075000	172190000	chr1	172375000	172420000	2.3200227071979e-10
chr1	172730000	172815000	chr1	173190000	173225000	0.0009534324878686282
chr1	173170000	173275000	chr1	173390000	173435000	0.0030662105621608138
chr1	174190000	174315000	chr1	174715000	174760000	3.846331637269915e-14
chr1	174720000	174860000	chr1	174965000	175010000	3.143955574543389e-30
chr1	175110000	175230000	chr1	175295000	175340000	5.482013255039328e-19
chr1	178235000	178385000	chr1	178470000	178525000	6.778846776656486e-12
chr1	178680000	178835000	chr1	178980000	179035000	3.2966516248282064e-06
chr1	178990000	179140000	chr1	179345000	179390000	3.015845884718154e-21
chr1	179655000	179755000	chr1	179790000	179825000	3.840249854467548e-11
chr1	179790000	179895000	chr1	180150000	180195000	0.00019491514123557167
chr1	180145000	180310000	chr1	180445000	180500000	9.15238850776799e-16
chr1	180480000	180605000	chr1	180840000	180885000	2.7596515840179163e-13
chr1	180855000	181095000	chr1	181115000	181170000	3.812843840176999e-34
chr1	181135000	181235000	chr1	181410000	181455000	0.0005895111242133496
chr1	181450000	181550000	chr1	181645000	181690000	0.0002774751488872878
chr1	181405000	181565000	chr1	181915000	181960000	3.622867425354929e-11
chr1	182055000	182170000	chr1	182375000	182420000	2.342879542843176e-10
chr1	182540000	182670000	chr1	182760000	182805000	1.1224256913133147e-18
chr1	183595000	183710000	chr1	183900000	183935000	1.5020694920519866e-16
chr1	184040000	184140000	chr1	184190000	184235000	0.0014839047999368072
chr1	184740000	184875000	chr1	184960000	185005000	2.3287199422858406e-19
chr1	184710000	184810000	chr1	185145000	185180000	0.0018345892525898928
chr1	185155000	185280000	chr1	185650000	185705000	0.0002965802791786512
